id,original_path,file_name,extension,size_mb,source_folder,detected_module,detected_document_type,proposed_menu,proposed_folder,proposed_title,proposed_code,canonical_use,training_use,quiz_use,certificate_use,priority,training_queue,impacted_roles,suggested_recurrence,status,action_recommended,needs_human_review,notes
0001,Google Drive/POPs+MBP_Drogarias,POPs+MBP_Drogarias,,,root,RQ's e MBP,Pasta/POP,Drogarias,Manual de Boas Praticas,POPs+MBP_Drogarias,POPS-MBP-DROGARIAS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0002,Google Drive/conteudo_modular.md,conteudo_modular.md,md,,root,Treinamentos,Documento,Treinamentos,Boas Praticas e Controle de Qualidade,conteudo_modular,CONTEUDO-MODULAR-MD,SIM,OBRIGATORIO,REVISAR,NAO,P0,PRIORITARIO,ADMIN;RT,,INVENTARIADO,IMPORTAR_COMO_TREINAMENTO,NAO,Material de treinamento modular
0003,Google Drive/index.html,index.html,html,,root,Treinamentos,Documento,Treinamentos,Boas Praticas e Controle de Qualidade,index,INDEX-HTML,SIM,OBRIGATORIO,REVISAR,NAO,P0,PRIORITARIO,ADMIN;RT,,INVENTARIADO,IMPORTAR_COMO_TREINAMENTO,NAO,Material de treinamento modular
0004,Google Drive/POP_Roteiro de Qualificação de Fornecedores - Farmácia de Manipulação,POP_Roteiro de Qualificação de Fornecedores - Farmácia de Manipulação,,,root,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,05. Materias-primas e Fornecedores,POP_Roteiro de Qualificação de Fornecedores - Farmácia de Manipulação,POP-ROTEIRO-DE-QUALIFICACAO-DE-FORNECEDORES-FARM,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0005,Google Drive/POP_Roteiro de Autoinspeção para Farmácia de Manipulação,POP_Roteiro de Autoinspeção para Farmácia de Manipulação,,,root,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,06. Manipulacao,POP_Roteiro de Autoinspeção para Farmácia de Manipulação,POP-ROTEIRO-DE-AUTOINSPECAO-PARA-FARMACIA-DE-MAN,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0006,Google Drive/Manual para Solicitação de AE,Manual para Solicitação de AE,,,root,Farmacia de Manipulacao,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,Manual para Solicitação de AE,MANUAL-PARA-SOLICITACAO-DE-AE,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0007,Google Drive/Manual para Solicitação de AFE,Manual para Solicitação de AFE,,,root,Farmacia de Manipulacao,Pasta/Colecao,Biblioteca POPs,01. Gestao da Qualidade,Manual para Solicitação de AFE,MANUAL-PARA-SOLICITACAO-DE-AFE,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0008,Google Drive/POPs+MBP_Antibióticos Citostáticos e Hormônios,POPs+MBP_Antibióticos Citostáticos e Hormônios,,,root,RQ's e MBP,Pasta/POP,Biblioteca POPs,Manual de Boas Praticas,POPs+MBP_Antibióticos Citostáticos e Hormônios,POPS-MBP-ANTIBIOTICOS-CITOSTATICOS-E-HORMONIOS,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0009,Google Drive/POP Polícia Civil [2025],POP Polícia Civil [2025],,,root,Farmacia de Manipulacao,Pasta/POP,Biblioteca POPs,01. Gestao da Qualidade,POP Polícia Civil [2025],POP-POLICIA-CIVIL-2025,SIM,PLANEJADO,REVISAR,NAO,P0,NORMAL,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
0010,Google Drive/PGRSS_Farmácia de Manipulação e Drogarias,PGRSS_Farmácia de Manipulação e Drogarias,,,root,Drogarias,Pasta/Colecao,Drogarias,06. Manipulacao,PGRSS_Farmácia de Manipulação e Drogarias,PGRSS-FARMACIA-DE-MANIPULACAO-E-DROGARIAS,REVISAR,NAO,NAO,NAO,P1,NAO_APLICA,ADMIN;RT,,INVENTARIADO,REVISAR,SIM,Item e pasta/colecao no Drive; listar arquivos internos antes de importar
